category_name,group_code,group_name,option_code,option_name,option_full_name,option_description
Безопасность,airbag,Подушки безопасности,airbag_driver,Водителя,Подушка безопасности водителя,
Безопасность,airbag,Подушки безопасности,airbag_passenger,Пассажира,Подушка безопасности пассажира,
Безопасность,airbag,Подушки безопасности,central_airbag,Центральная,Подушка безопасности центральная,
Безопасность,airbag,Подушки безопасности,airbag_side,Боковые передние,Подушки безопасности боковые,
Безопасность,airbag,Подушки безопасности,airbag_rear_side,Боковые задние,Подушки безопасности боковые задние,
Безопасность,airbag,Подушки безопасности,airbag_curtain,Оконные (шторки),Подушки безопасности оконные (шторки),
Безопасность,airbag,Подушки безопасности,knee_airbag,Коленей водителя,Подушка безопасности для защиты коленей водителя,
Безопасность,airbag,Подушки безопасности,knee_airbag_pass,Коленей пассажира,Подушка безопасности для защиты коленей пассажира,
Безопасность,help-sys,Вспомогательные системы,fcw,Предупреждения о столкновении,Система предупреждения о столкновении,Оповещает водителя звуковыми и визуальными сигналами о приближении к препятствию.
Безопасность,help-sys,Вспомогательные системы,collision_prevention_assist,Предотвращения столкновения,Система предотвращения столкновения,Корректирует скорость или активирует торможение при обнаружении риска столкновения.
Безопасность,help-sys,Вспомогательные системы,pedestrian_detection,Обнаружения пешеходов,Система обнаружения пешеходов,
Безопасность,help-sys,Вспомогательные системы,ldw,Предупреждения о выезде из полосы,Система предупреждения о выезде из полосы,Оповещает водителя вибрацией или звуком при непреднамеренном смещении автомобиля за пределы занимаемой полосы.
Безопасность,help-sys,Вспомогательные системы,lane_keeping_assist,Удержания в полосе,Система удержания в полосе,"Удерживает автомобиль в пределах полосы движения, предотвращая непреднамеренный выезд за ее границы."
Безопасность,help-sys,Вспомогательные системы,tja,Ассистент движения в пробке,Ассистент движения в пробке,"Автоматически контролирует скорость и дистанцию до впереди идущего автомобиля, облегчая вождение в условиях пробки."
Безопасность,help-sys,Вспомогательные системы,drowsy_driver_alert_system,Датчик усталости водителя,Датчик усталости водителя,Анализирует поведение водителя за рулем и предупреждает о признаках усталости.
Безопасность,help-sys,Вспомогательные системы,traffic_sign_recognition,Распознавания дорожных знаков,Система распознавания дорожных знаков,Система отображает информацию о дорожных знаках на приборной панели или проекционном дисплее.
Безопасность,help-sys,Вспомогательные системы,asr,Антипробуксовочная (ASR),Антипробуксовочная система (ASR),"Предотвращает пробуксовку колес, повышая управляемость автомобиля при разгоне на прямой или выходе из поворота в условиях недостаточного сцепления."
Безопасность,help-sys,Вспомогательные системы,vsm,Стабилизации рулевого управления (VSM),Система стабилизации рулевого управления (VSM),"Помогает сохранить контроль над автомобилем в сложных условиях, автоматически корректируя положение руля, тормозное усилие и крутящий момент двигателя."
Безопасность,help-sys,Вспомогательные системы,bas,Распределения тормозных усилий (BAS; EBD),Система помощи при торможении (BAS; EBD),"Анализирует силу воздействия водителя на педаль тормоза и усиливает давление при резком нажатии, сокращая время торможения."
Безопасность,help-sys,Вспомогательные системы,hcc,Помощи при старте в гору,Система помощи при старте в гору (HSA),"Предотвращает откат автомобиля на подъеме, облегчая начало движения."
Безопасность,help-sys,Вспомогательные системы,dha,Помощи при спуске,Система помощи при спуске,Автоматически контролирует скорость автомобиля на крутых спусках.
Безопасность,help-sys,Вспомогательные системы,blind_spot,Контроля слепых зон,Система контроля слепых зон,Индикация наличия объектов в слепых зонах зеркал рядом с автомобилем.
Безопасность,help-sys,Вспомогательные системы,rcta,Помощи при выезде с парковки задним ходом,Система помощи при выезде с парковки задним ходом,"Ассистент водителя при движении задним ходом, предупреждающий о приближении автомобилей слева или справа."
Безопасность,help-sys,Вспомогательные системы,night_vision,Ночного видения,Система ночного видения,Облегчает визуализацию дорожной обстановки в ночное время или при плохой погоде.
Безопасность,isofix,Система крепления Isofix,isofix,Задний ряд,Крепление детского кресла (задний ряд) ISOFIX,Стандартизированная система быстрого и надежного крепления детских автокресел на заднем сиденье.
Безопасность,isofix,Система крепления Isofix,isofix_front,Передний ряд,Крепление детского кресла (передний ряд) ISOFIX,Стандартизированная система быстрого и надежного крепления детских автокресел на переднем сиденье.
Безопасность,,,tyre_pressure,Датчик давления в шинах,Датчик давления в шинах,"Устройство, предупреждающее водителя об изменении давления в шинах."
Безопасность,,,abs,Антиблокировочная система (ABS),Антиблокировочная система (ABS),"Система предотвращает блокировку колес автомобиля при торможении, позволяя сохранить его управляемость и устойчивость."
Безопасность,,,esp,Система стабилизации (ESP),Система стабилизации (ESP),"Улучшает управляемость и предотвращает занос, автоматически регулируя работу тормозов и мощность двигателя при обнаружении потери сцепления."
Безопасность,,,power_child_locks_rear_doors,Блокировка замков задних дверей,Блокировка замков задних дверей,"Функция, предотвращающая открытие задних дверей изнутри."
Безопасность,,,glonass,ЭРА-ГЛОНАСС,ЭРА-ГЛОНАСС,"Система экстренного реагирования при ДТП, обеспечивающая передачу информации экстренным службам для оперативной помощи."
Безопасность,,,armored,Бронированный кузов,Бронированный кузов,
Комфорт,condition,Кондиционер,climate_control_1,Климат-контроль 1-зонный,Климат-контроль 1-зонный,
Комфорт,condition,Кондиционер,climate_control_2,Климат-контроль 2-зонный,Климат-контроль 2-зонный,
Комфорт,condition,Кондиционер,multizone_climate_control,Климат-контроль многозонный,Климат-контроль многозонный,
